Date;Symbol;StartDate;EndDate;Offer;Close;Change;Std;Volume;Amount;MktCap
03/02/2011;PCRX;;;7;7,02;0,29 %;;;;
19/03/2014;PCTY;;;17;24,04;41,41 %;;;;
04/05/2012;PDH;;;17;16,5;-2,94 %;;;;
23/05/2014;PE;;;18,5;22,2;20,00 %;;;;
27/09/2013;PEGI;;;22;23,27;5,77 %;;;;
18/09/2015;PEN;;;30;41,3;37,67 %;;;;
27/06/2013;PETX;;;6;8,26;37,67 %;;;;
28/03/2013;PF;;;20;22,21;11,05 %;;;;
01/10/2015;PFGC;;;19;19,2;1,05 %;;;;
08/04/2011;PFLT;;;15;13,4;-10,67 %;;;;
10/08/2012;PFMT;;;9;10,6;17,78 %;;;;
24/07/2014;PFNX;;;6;5,3;-11,67 %;;;;
20/04/2012;PFPT;;;13;14,05;8,08 %;;;;
09/05/2013;PFSI;;;18;19,1;6,11 %;;;;
23/05/2013;PGEM;;;21;23,3;10,95 %;;;;
21/05/2015;PGND;;;25;27,5;10,00 %;;;;
18/11/2014;PGRE;;;17,5;18,18;3,89 %;;;;
01/04/2014;PIH;;;8;7,95;-0,62 %;;;;
26/09/2013;PINC;;;27;30,65;13,52 %;;;;
10/10/2014;PLAY;;;16;17,28;8,00 %;;;;
06/08/2015;PLNT;;;16;16;0,00 %;;;;
05/05/2010;PLOW;;;11,25;11,29;0,36 %;;;;
09/10/2015;PMTS;;;10;12,17;21,70 %;;;;
16/01/2015;PN;;;14;13,5;-3,57 %;;;;
30/04/2010;PNG;;;21,5;23,25;8,14 %;;;;
13/11/2014;PRAH;;;18;19,62;9,00 %;;;;
01/04/2010;PRI;;;15;19,65;31,00 %;;;;
24/02/2012;PRLB;;;16;29;81,25 %;;;;
05/11/2010;PRMW;;;12;12,95;7,92 %;;;;
18/09/2014;PRQR;;;13;14,73;13,31 %;;;;
29/03/2012;PRSS;;;19;19,03;0,16 %;;;;
22/10/2014;PRTO;;;10;10,03;0,30 %;;;;
16/04/2015;PRTY;;;17;20,7;21,76 %;;;;
08/08/2012;PSMI;;;14;14,71;5,07 %;;;;
07/10/2015;PSTG;;;17;16,01;-5,82 %;;;;
23/07/2013;PSXP;;;23;29,7;29,13 %;;;;
21/06/2013;PTCT;;;15;16,49;9,93 %;;;;
22/05/2013;PTLA;;;14,5;15,15;4,48 %;;;;
04/06/2015;PTXP;;;20;19,48;-2,60 %;;;;
11/06/2015;PUB;;;14,4;16,7;15,97 %;;;;
09/08/2013;QEPM;;;21;22,25;5,95 %;;;;
30/03/2011;QIHU;;;14,5;34;134,48 %;;;;
03/05/2013;QIWI;;;17;17,08;0,47 %;;;;
16/07/2010;QLIK;;;10;12,8;28,00 %;;;;
28/09/2012;QLYS;;;12;14,16;18,00 %;;;;
11/02/2010;QNST;;;15;15;0,00 %;;;;
20/03/2014;QTWO;;;13;15,17;16,69 %;;;;
07/03/2014;QUOT;;;16;30;87,50 %;;;;
05/02/2014;QURE;;;17;14,61;-14,06 %;;;;
12/04/2013;RALY;;;14;17,81;27,21 %;;;;
31/01/2014;RARE;;;21;42,25;101,19 %;;;;
17/06/2011;RATE;;;15;15,34;2,27 %;;;;
09/05/2013;RCPT;;;14;14;0,00 %;;;;
10/11/2010;RDA;;;9;10,75;19,44 %;;;;
06/06/2014;RDUS;;;8;8,01;0,12 %;;;;
19/01/2012;REGI;;;10;10,1;1,00 %;;;;
04/05/2011;RENN;;;14;18,01;28,64 %;;;;
07/03/2014;REPH;;;8;8,3;3,75 %;;;;
19/07/2013;REXR;;;14;14,04;0,29 %;;;;
04/10/2012;RGLS;;;4;4,2;5,00 %;;;;
17/09/2015;RGNX;;;22;30,45;38,41 %;;;;
24/01/2014;RICE;;;21;21,9;4,29 %;;;;
31/07/2014;RIGP;;;22;24,3;10,45 %;;;;
15/05/2015;RKDA;;;8;7,3;-8,75 %;;;;
16/11/2012;RKUS;;;15;12,25;-18,33 %;;;;
16/07/2010;RLD;;;16;19,51;21,94 %;;;;
11/10/2012;RLGY;;;27;34,2;26,67 %;;;;
20/05/2010;RLOC;;;13;12,66;-2,62 %;;;;
15/11/2013;RLYP;;;11;12,24;11,27 %;;;;
28/03/2012;RM;;;15;16,45;9,67 %;;;;
02/10/2013;RMAX;;;22;27;22,73 %;;;;
17/12/2014;RMP;;;16,5;16,3;-1,21 %;;;;
28/06/2013;RNA;;;13;19,25;48,08 %;;;;
08/02/2012;RNDY;;;8,5;9;5,88 %;;;;
15/12/2010;RNET;;;12;12,55;4,58 %;;;;
04/11/2011;RNF;;;20;19,85;-0,75 %;;;;
27/09/2013;RNG;;;13;18,2;40,00 %;;;;
17/07/2014;ROKA;;;12;12;0,00 %;;;;
12/08/2010;RP;;;11;14,52;32,00 %;;;;
05/04/2012;RPAI;;;8;8,75;9,38 %;;;;
17/07/2015;RPD;;;16;25,28;58,00 %;;;;
04/05/2011;RPXC;;;19;23,88;25,68 %;;;;
09/12/2011;RRMS;;;20;20;0,00 %;;;;
13/05/2010;RRTS;;;14;13,75;-1,79 %;;;;
17/01/2014;RSPP;;;19,5;20,15;3,33 %;;;;
24/06/2015;RTTR;;;5;4,96;-0,80 %;;;;
02/04/2014;RUBI;;;15;20,09;33,93 %;;;;
05/08/2015;RUN;;;14;10,77;-23,07 %;;;;
06/02/2014;RVNC;;;16;26,85;67,81 %;;;;
12/09/2014;RWLK;;;12;25,6;113,33 %;;;;
29/03/2012;RXN;;;18;20;11,11 %;;;;
08/08/2014;RYI;;;11;10,3;-6,36 %;;;;
17/04/2014;SABR;;;16;16,5;3,13 %;;;;
18/07/2014;SAGE;;;18;30,1;67,22 %;;;;
19/07/2013;SALE;;;21;27,7;31,90 %;;;;
27/06/2013;SAMG;;;11;11,83;7,55 %;;;;
26/05/2011;SAVE;;;12;12,11;0,92 %;;;;
23/01/2014;SC;;;24;25,28;5,33 %;;;;
30/10/2013;SCAI;;;24;27,1;12,92 %;;;;
08/11/2012;SCM;;;15;15,08;0,53 %;;;;
13/12/2012;SCTY;;;8;11,79;47,38 %;;;;
02/05/2014;SCYX;;;10;9;-10,00 %;;;;
19/10/2012;SDLP;;;22;24,37;10,77 %;;;;
19/04/2013;SEAS;;;27;33,52;24,15 %;;;;
22/05/2014;SEMI;;;13;15;15,38 %;;;;
14/05/2014;SFBS;;;91;85;-6,59 %;;;;
01/08/2013;SFM;;;18;40,11;122,83 %;;;;
24/09/2014;SFS;;;12;12,01;0,08 %;;;;
17/09/2010;SFUN;;;42,5;73,5;72,94 %;;;;
10/10/2013;SGM;;;16;18,25;14,06 %;;;;
18/06/2014;SGNL;;;10;9,09;-9,10 %;;;;
20/04/2011;SGNT;;;16;19,9;24,38 %;;;;
01/10/2015;SGRY;;;19;18,11;-4,68 %;;;;
29/10/2014;SHLX;;;23;33,55;45,87 %;;;;
29/10/2014;SIEN;;;15;16,75;11,67 %;;;;
21/11/2014;SKIS;;;9;8,51;-5,44 %;;;;
20/07/2011;SKUL;;;20;20;0,00 %;;;;
13/11/2014;SKYS;;;8;9,15;14,38 %;;;;
01/02/2012;SLCA;;;17;16;-5,88 %;;;;
09/02/2010;SLRC;;;18,75;18;-4,00 %;;;;
28/09/2012;SMLP;;;20;21,11;5,55 %;;;;
21/02/2014;SMLR;;;7;6,99;-0,14 %;;;;
15/07/2010;SMT;;;17;17,05;0,29 %;;;;
14/12/2011;SN;;;22;18,25;-17,05 %;;;;
31/01/2014;SNOW;;;12;11,9;-0,83 %;;;;
03/11/2010;SODA;;;20;24,12;20,60 %;;;;
29/07/2014;SPKE;;;18;17,87;-0,72 %;;;;
19/04/2012;SPLK;;;17;35,48;108,71 %;;;;
22/04/2010;SPSC;;;12;13,6;13,33 %;;;;
17/04/2014;SPWH;;;9,5;9,75;2,63 %;;;;
19/11/2015;SQ;;;9;13,07;45,22 %;;;;
27/03/2014;SQBK;;;18;20,6;14,44 %;;;;
24/09/2010;SQI;;;9,5;12,27;29,16 %;;;;
15/04/2011;SQNS;;;10;8,25;-17,50 %;;;;
25/03/2011;SREV;;;10;12,18;21,80 %;;;;
25/10/2013;SRLP;;;18;17,75;-1,39 %;;;;
31/03/2010;SSNC;;;15;15,08;0,53 %;;;;
13/03/2013;SSNI;;;17;22;29,41 %;;;;
11/10/2012;SSTK;;;17;21,66;27,41 %;;;;
11/03/2010;ST;;;18;18,5;2,78 %;;;;
15/04/2011;STAG;;;13;12,5;-3,85 %;;;;
13/11/2013;STAY;;;20;23,87;19,35 %;;;;
20/03/2015;STDY;;;8,5;8,6;1,18 %;;;;
29/01/2013;STML;;;10;11,8;18,00 %;;;;
31/03/2010;STNG;;;13;12,56;-3,38 %;;;;
17/11/2014;STOR;;;18,5;19,5;5,41 %;;;;
12/03/2015;SUM;;;18;20,97;16,50 %;;;;
25/02/2011;SUNS;;;20;19,6;-2,00 %;;;;
01/05/2012;SUPN;;;5;5,37;7,40 %;;;;
20/09/2012;SUSP;;;20,5;22,91;11,76 %;;;;
21/07/2011;SXC;;;16;17;6,25 %;;;;
18/01/2013;SXCP;;;19;18,25;-3,95 %;;;;
02/11/2012;SXE;;;20;22,35;11,75 %;;;;
22/01/2010;SYA;;;12;12,75;6,25 %;;;;
31/07/2014;SYF;;;23;23;0,00 %;;;;
10/02/2012;SYNC;;;5;5,25;5,00 %;;;;
24/11/2010;SYSW;;;7;6,2;-11,43 %;;;;
26/05/2011;SZYM;;;18;20,71;15,06 %;;;;
09/06/2011;TAOM;;;9;8,23;-8,56 %;;;;
07/11/2014;TBK;;;12;12,75;6,25 %;;;;
03/02/2011;TBOW;;;5;4,74;-5,20 %;;;;
30/01/2015;TCON;;;10;9,4;-6,00 %;;;;
04/04/2012;TCPC;;;14,75;14,55;-1,36 %;;;;
01/11/2013;TCS;;;18;36,2;101,11 %;;;;
01/07/2015;TDOC;;;19;28,5;50,00 %;;;;
28/07/2011;TEA;;;17;27,8;63,53 %;;;;
10/12/2015;TEAM;;;21;27,78;32,29 %;;;;
03/04/2014;TEDU;;;9;9,06;0,67 %;;;;
07/05/2015;TEGP;;;29;31,75;9,48 %;;;;
14/05/2013;TEP;;;21,5;21,5;0,00 %;;;;
05/11/2010;TFM;;;22;32,11;45,95 %;;;;
05/05/2011;THR;;;12;12,28;2,33 %;;;;
17/09/2014;TKAI;;;15;23,76;58,40 %;;;;
20/04/2011;TLLP;;;21;23,5;11,90 %;;;;
12/02/2014;TLMR;;;13;13,8;6,15 %;;;;
12/12/2013;TLOG;;;7;7;0,00 %;;;;
04/05/2012;TLYS;;;15,5;16,81;8,45 %;;;;
10/04/2013;TMHC;;;22;23,04;4,73 %;;;;
13/05/2010;TNAV;;;8;9,8;22,50 %;;;;
14/11/2013;TNDM;;;15;19,26;28,40 %;;;;
27/03/2014;TNET;;;16;19,1;19,38 %;;;;
09/04/2010;TNGN;;;5;5,02;0,40 %;;;;
27/07/2011;TNGO;;;10;11,65;16,50 %;;;;
09/05/2014;TOUR;;;9;10,07;11,89 %;;;;
15/10/2010;TOWR;;;13;13;0,00 %;;;;
31/01/2013;TPH;;;17;19,05;12,06 %;;;;
15/08/2013;TPRE;;;12,5;13,06;4,48 %;;;;
06/03/2014;TPVG;;;15;15,65;4,33 %;;;;
07/12/2010;TRGP;;;22;24,7;12,27 %;;;;
16/04/2014;TRIV;;;12;13,79;14,92 %;;;;
20/09/2012;TRLA;;;17;24;41,18 %;;;;
27/06/2013;TRMR;;;10;8,5;-15,00 %;;;;
10/02/2010;TRNO;;;20;18,65;-6,75 %;;;;
18/07/2014;TRUP;;;10;11,4;14,00 %;;;;
31/01/2014;TRVN;;;7;6,5;-7,14 %;;;;
09/05/2013;TSC;;;11,5;12,59;9,48 %;;;;
12/06/2014;TSE;;;19;20,25;6,58 %;;;;
29/06/2010;TSLA;;;17;23,98;41,06 %;;;;
21/03/2014;TSLX;;;16;16;0,00 %;;;;
24/07/2014;TSQ;;;11;10,25;-6,82 %;;;;
28/06/2012;TSRO;;;13;13,69;5,31 %;;;;
03/08/2010;TSRX;;;5;5;0,00 %;;;;
07/08/2014;TTOO;;;11;14,32;30,18 %;;;;
20/03/2013;TTPH;;;7;7;0,00 %;;;;
18/07/2014;TUBE;;;7;11,5;64,29 %;;;;
19/04/2012;TUMI;;;18;26,5;47,22 %;;;;
25/09/2014;TVPT;;;16;16,4;2,50 %;;;;
28/03/2014;TWOU;;;13;13,98;7,54 %;;;;
07/11/2013;TWTR;;;26;44,9;72,69 %;;;;
07/06/2013;TXTR;;;15;20,94;39,60 %;;;;
08/04/2011;UAN;;;16;17,55;9,69 %;;;;
14/10/2011;UBNT;;;15;17,5;16,67 %;;;;
18/07/2013;UCP;;;15;14;-6,67 %;;;;
18/06/2015;UNVR;;;22;24,05;9,32 %;;;;
06/11/2014;UPLD;;;12;9,75;-18,75 %;;;;
15/01/2013;USAC;;;18;11,66;-35,22 %;;;;
09/10/2014;USDP;;;17;16;-5,88 %;;;;
14/11/2014;VA;;;23;30;30,43 %;;;;
01/10/2014;VBLT;;;6;5,85;-2,50 %;;;;
09/10/2014;VBTX;;;13;13,95;7,31 %;;;;
28/03/2012;VCRA;;;19;21,03;10,68 %;;;;
30/10/2013;VCYT;;;13;13,25;1,92 %;;;;
16/10/2013;VEEV;;;20;37,16;85,80 %;;;;
22/06/2011;VHS;;;18;18,05;0,28 %;;;;
23/03/2012;VIPS;;;6,5;5,5;-15,38 %;;;;
16/04/2015;VIRT;;;19;22,18;16,74 %;;;;
18/10/2013;VJET;;;13;28,8;121,54 %;;;;
29/04/2015;VKTX;;;8;8,96;12,00 %;;;;
11/12/2013;VLP;;;23;28;21,74 %;;;;
18/09/2013;VLRS;;;12;14,01;16,75 %;;;;
22/11/2013;VNCE;;;20;28,66;43,30 %;;;;
21/04/2011;VNET;;;15;18,8;25,33 %;;;;
18/06/2014;VNOM;;;26;32,35;24,42 %;;;;
22/03/2012;VNTV;;;17;19,5;14,71 %;;;;
02/05/2013;VOYA;;;19,5;20,84;6,87 %;;;;
21/10/2010;VRA;;;16;24,85;55,31 %;;;;
28/02/2014;VRNS;;;22;44;100,00 %;;;;
21/03/2014;VSAR;;;21;31,37;49,38 %;;;;
01/10/2014;VSLR;;;16;16,01;0,06 %;;;;
27/01/2012;VSTM;;;10;11,09;10,90 %;;;;
24/09/2014;VTAE;;;8;7,61;-4,88 %;;;;
17/04/2014;VTL;;;12;12;0,00 %;;;;
01/08/2014;VTTI;;;21;22,1;5,24 %;;;;
30/07/2015;VTVT;;;15;10,89;-27,40 %;;;;
02/10/2014;VWR;;;21;21,05;0,24 %;;;;
11/11/2015;VYGR;;;14;17,75;26,79 %;;;;
02/10/2014;W;;;29;37,72;30,07 %;;;;
10/05/2012;WAGE;;;9;9,99;11,00 %;;;;
28/07/2011;WAIR;;;15;14,92;-0,53 %;;;;
28/03/2014;WATT;;;6;10,58;76,33 %;;;;
17/04/2014;WB;;;17;20,24;19,06 %;;;;
22/11/2013;WBAI;;;13;20,01;53,92 %;;;;
25/07/2013;WCIC;;;15;15,12;0,80 %;;;;
15/12/2010;WD;;;10;9,9;-1,00 %;;;;
12/10/2012;WDAY;;;28;48,69;73,89 %;;;;
07/12/2012;WGP;;;22;28;27,27 %;;;;
05/12/2012;WHF;;;15;13,9;-7,33 %;;;;
04/05/2011;WIFI;;;13,5;12,1;-10,37 %;;;;
16/11/2013;WIX;;;16,5;16,31;-1,15 %;;;;
12/12/2014;WK;;;14;13,75;-1,79 %;;;;
16/05/2013;WLH;;;25;25,5;2,00 %;;;;
30/07/2014;WLKP;;;24;30,78;28,25 %;;;;
10/05/2012;WMC;;;20;18,8;-6,00 %;;;;
25/07/2014;WMS;;;16;16,15;0,94 %;;;;
10/10/2013;WNRL;;;22;24,1;9,55 %;;;;
09/08/2013;WPT;;;20;19,56;-2,20 %;;;;
22/03/2013;WSTC;;;20;18,86;-5,70 %;;;;
31/10/2013;WUBA;;;17;24,12;41,88 %;;;;
11/11/2015;WVE;;;16;16;0,00 %;;;;
13/11/2015;XCOM;;;5;5;0,00 %;;;;
05/11/2014;XENE;;;9;10,5;16,67 %;;;;
24/07/2014;XENT;;;11;12,92;17,45 %;;;;
19/09/2013;XLRN;;;15;19,99;33,27 %;;;;
03/12/2013;XNCR;;;5,5;8,34;51,64 %;;;;
24/06/2014;XNET;;;12;14,9;24,17 %;;;;
23/11/2010;XNY;;;11;9,95;-9,55 %;;;;
08/08/2013;XON;;;16;24,73;54,56 %;;;;
07/02/2013;XONE;;;18;26,52;47,33 %;;;;
15/02/2013;XOOM;;;16;25,49;59,31 %;;;;
26/06/2015;XTLY;;;8;8,7;8,75 %;;;;
02/11/2010;XUE;;;9,5;12,5;31,58 %;;;;
03/10/2014;YDLE;;;12;13,44;12,00 %;;;;
02/03/2012;YELP;;;15;24,58;63,87 %;;;;
24/05/2011;YNDX;;;25;38,84;55,36 %;;;;
08/12/2010;YOKU;;;12,8;27;110,94 %;;;;
18/12/2015;YRD;;;10;9,1;-9,00 %;;;;
07/08/2013;YUME;;;9;9;0,00 %;;;;
21/11/2012;YY;;;10,5;11,31;7,71 %;;;;
17/10/2014;ZAYO;;;19;22;15,79 %;;;;
15/05/2014;ZEN;;;9;13,43;49,22 %;;;;
08/02/2013;ZFC;;;21,25;19,95;-6,12 %;;;;
19/06/2014;ZFGN;;;16;19,75;23,44 %;;;;
23/11/2010;ZGNX;;;4;3,98;-0,50 %;;;;
14/04/2011;ZIP;;;18;28;55,56 %;;;;
19/10/2011;ZLTQ;;;13;15,5;19,23 %;;;;
16/12/2011;ZNGA;;;10;9,5;-5,00 %;;;;
11/04/2014;ZOES;;;15;24,72;64,80 %;;;;
12/06/2014;ZPIN;;;13,5;14,65;8,52 %;;;;
27/01/2015;ZSAN;;;11;11,1;0,91 %;;;;
18/06/2014;ZSPH;;;18;28,38;57,67 %;;;;
01/02/2013;ZTS;;;26;31,01;19,27 %;;;;
15/11/2013;ZU;;;15;19,26;28,40 %;;;;
12/05/2011;ZX;;;6;5,85;-2,50 %;;;;
05/08/2015;ZYNE;;;14;16,25;16,07 %;;;;
16/05/2014;TRUE;;;9;10,06;11,78 %;;;;
